feature,correlation
ID_Coverage,0.6440330168246671
Zone_Insurer,0.6129119799484931
Disease_Avg_Cov,0.4837119897457387
Insurer_Generosity,0.4728458024480394
Insurer_Abd_Gen,0.4451528977775677
ID_Deviation,0.4372589322901846
Disease_Avg_LOS,0.38888401186721955
Insurer_Volume,0.24664628682442272
LOS_Risk_Long,0.2403061420368709
LOS (Days),0.22687717759246478
Insurer_CKD_Gen,0.2104232108573825
Age_Group_Encoded,0.19313092507774682
Zone_Bias,0.18816663395890645
Insurer_Consistency,0.1433911082529113
LOS_Z_Disease,0.1325357739925752
Cost_Risk_Medium,0.083416204544722
ID_Volume,0.0670006841375126
Cost_Risk_High,0.010281408920853644
Cost_Risk_Low,-0.010281408920853592
Disease_Volume,-0.039942050298990964
Bill_Z_Disease,-0.05914216825623042
Disease_Variability,-0.06889697940843334
Bill_Pct_Disease,-0.0895327994255752
Insurer_Partial_Rate,-0.12638939353084966
Bill_Z_Insurer,-0.1269914969579489
Gender_Encoded,-0.1300285478881263
Disease_Avg_Bill,-0.15682758578667547
Bill Amt (₹),-0.16588099513643031
Bill_Sq_Norm,-0.19321234131820747
Bill_Pct_Insurer,-0.19696469070890235
LOS_Risk_Optimal,-0.24030614203687078
Cost_per_Day,-0.2771318062004725
Log_Bill,-0.3076154158933585
Combined_Risk,-0.3342210381263217
LOS_Risk_Short,-0.35082853401353437
Disease_Risk,-0.36499994428203053
Insurer_Rejection_Rate,-0.39580776117404637
ID_Rejection,-0.47313653434221276
